"","Species","Status","Seed.size","Seed.shape","Dispersal.syndrome","Vegetative.sperad","Leaf.size","Habit","Sculthorpe","Plant.height","Stem.length","Persistence","Reproductive.period","Stem.type","Nitrogen.fixation","Anaerobiosis.tolerance","Drougth.tolerance","Photosynthetic.path","Raunkiaer"
"101","Ranunculus_apiifolius","1","2","2","1","0","4","5","6","40","60","2","3","1","0","2","1","1","3"
"102","Ranunculus_bonariensis","1","1","2","1","0","2","5","1","15","35","2","4","1","0","2","1","1","3"
"103","Rorippa_bonariensis","1","2","4","1","0","1","5","2","10","40","2","3","1","0","1","1","1","3"
"104","Rumex_crispus","2","2","4","1","0","4","7","0","40","40","1","4","1","0","2","2","1","2"
"105","Saccharum_angustifolium","1","3","3","1","1","4","6","2","100","150","1","1","1","0","2","1","2","2"
"106","Sagittaria_montevidensis","1","2","1","0","1","4","7","1","60","100","1","4","1","0","2","1","1","4"
"107","Scutellaria_racemosa","1","1","4","1","1","1","5","2","15","30","1","4","1","0","2","1","1","2"
"108","Selaginella_sp","1","1","4","1","1","1","2","2","3","30","1","0","1","0","2","1","1","2"
"109","Senecio_selloi","1","4","1","0","0","4","5","0","50","100","1","4","2","0","1","2","1","1"
"110","Senecio_tweediei","1","3","1","0","0","3","5","1","60","150","2","4","1","0","2","1","1","3"
"111","Setaria_geminata","1","2","3","1","1","3","2","1","30","60","1","1","1","0","1","1","2","2"
"112","Setaria_parviflora","1","2","3","1","0","3","8","0","20","90","1","4","1","0","1","2","2","2"
"113","Solanum_glaucophyllum","1","4","4","1","0","4","5","2","80","150","1","1","3","0","2","1","1","5"
"114","Soliva_macrocephala","1","3","1","0","0","2","7","0","10","30","2","4","1","0","2","1","1","3"
"115","Sonchus_sp","2","2","1","0","0","3","7","0","40","100","2","4","1","0","2","1","1","3"
"116","Sphagnum_sp","1","1","4","1","1","1","2","4","5","30","1","0","1","0","2","1","1","2"
"117","Sporobolus_indicus","1","1","3","1","0","3","6","0","20","100","1","4","1","0","1","2","2","2"
"118","Steinchisma_hians","1","2","2","1","1","3","8","2","20","60","1","4","1","0","1","1","2","2"
"119","Stellaria_media","2","1","2","1","0","2","8","0","15","25","2","3","1","0","1","1","1","3"
"120","Stenotaphrum_secundatum","1","2","2","1","1","2","2","2","10","100","1","4","1","0","2","1","2","2"
"121","Symphyotrichum_squamatum","1","2","1","0","0","3","5","2","20","100","1","1","1","0","1","1","1","1"
"122","Trichanthecium_cf._schwackeanum","1","1","3","1","1","3","6","2","20","80","1","1","1","0","1","1","2","2"
"123","Trifolium_repens","2","2","2","1","1","2","2","0","15","100","1","4","1","1","2","1","1","2"
"124","Triglochin_scilloides","1","3","3","1","0","4","6","1","25","40","2","4","1","0","2","1","1","3"
"125","Utricularia_platensis","1","1","2","1","1","1","4","5","15","50","2","4","1","0","2","1","1","3"
