"","year","r2.n.t","r2.u.t","r2.n.p","r2.u.p","R2.unexp","intercept","axis1","axis2","axis3","axis4","axis5","axis1_2","axis2_2","axis3_2","axis4_2","axis5_2","R2.exp"
"1",2005,0.920070439675089,0.920070439675089,0.326289341885771,0.0098439149547961,0.0807242025092054,-9.262201797784,-11.8154710918552,0.022585384969561,-7.73091025790944,4.18072821248717,5.51673842339119,-50.5434696820161,10.9846785939557,-14.7597090224879,0.09483708047572,-65.8449585582101,0.919275797490795
"2",2006,0.945183577303301,0.945183577303301,0.322886529345959,0.00405236882596491,0.0550394629003538,-10.4498979583788,-19.8647632492236,0.498063982709486,1.41284534655136,0.376485595880224,1.11974635887294,-58.1287934478246,-12.653741475201,26.7647353026441,11.504480026792,23.6806373060946,0.944960537099646
"3",2007,0.569426798016914,0.569426798016914,0.321672586588594,0.00282663959681578,0.431793727230132,-8.93904237374337,-2.42343492244759,-2.51352769392767,0.384481096178252,1.22964937094245,0.90632145593969,-1.21406387638754,-5.01628269125312,1.46582896564834,-3.2608141193954,-2.08904928209017,0.568206272769868
"4",2008,0.480980269749321,0.480980269749321,0.320675385896822,0.00319891883708915,0.520685360458446,-9.44230462303372,-0.927617986912276,-4.10410284716464,-3.57861002060933,0.848816172429283,0.458657279248861,14.1044545241755,-5.48829056940084,23.5367366508945,16.1202937328432,6.58768514947978,0.479314639541554
"5",2009,0.444334767534546,0.444334767534546,0.316627054461568,0.00255608114931401,0.557089197662084,-8.90756400723297,-1.23286622397898,-2.14159642911308,-0.118410390618155,0.987256382016647,-2.15175687946111,6.71096413695281,-2.68559030740675,15.8937439332216,2.47282683383273,15.964520098691,0.442910802337916
"6",2010,0.442045541770354,0.442045541770354,0.31982688188072,0.00277246531773042,0.559505668290054,-8.3093893739494,-0.0257853983942963,-2.25121789948273,1.36050511305739,1.34039627513742,-0.900032716805378,-3.38904412520951,-8.22563475562602,-9.90778906055521,2.56637838426054,1.39661576583823,0.440494331709946
"7",2011,0.404575481417865,0.404575481417865,0.323228772175216,0.00376743957155943,0.597676227653176,-8.93548621366103,-0.601245857548825,-2.58914704119598,0.432956634626868,1.37195056522086,1.03594507913576,11.0571037877979,2.415030831702,0.130302975481743,11.7033255533562,-8.86893833333594,0.402323772346824
"8",2012,0.391427528466138,0.391427528466138,0.321977288109609,0.00280779766346125,0.610286031226383,-9.29558445487866,-1.36214068931037,-0.123629843507826,0.784531194723224,1.06261052029995,-0.976191940727086,10.678901839544,5.68673906722805,8.33014396366725,19.9779663830967,5.91244951751143,0.389713968773617
"9",2013,0.521006295864707,0.521006295864707,0.318951631207088,0.00285569532788389,0.480365481596766,-9.01757679261366,-2.6588498025456,-3.77359260229954,-0.781727195794989,0.70872688555578,3.64344434662148,9.62729481349304,-1.50700647718453,13.062958538871,9.80550203815274,-15.1047796024381,0.519634518403234
"10",2014,0.759978404537777,0.759978404537777,0.323582071104435,0.00387537236306172,0.240955387310939,-8.65343538891743,-3.17455716434278,-1.04299791803127,-1.4593650704628,2.22465962298349,7.56375944254069,-16.8066000524144,-0.316413801307939,-2.48388449328553,12.7589724448699,-71.4213225976765,0.759044612689061
