"","year","r2.n.t","r2.u.t","r2.n.p","r2.u.p","R2.unexp","intercept","axis1","axis2","axis3","axis4","axis5","axis1_2","axis2_2","axis3_2","axis4_2","axis5_2","R2.exp"
"11",2015,0.620120920680145,0.620120920680145,0.319054695184909,0.00231825095889213,0.380761780683032,-7.9393278891515,-2.14129990675869,-0.127657106400566,1.01198925273558,1.07748199050052,2.79692114569272,-10.2176686488537,-11.3146189572023,-16.330652736506,-14.1185513553726,-18.5699359043752,0.619238219316968
"12",2016,0.902756829843954,0.902756829843954,0.319324155574755,0.00265406597296825,0.0975019467552271,-8.88780676498173,-13.0370595920423,-0.475512817396265,-3.10196550083782,6.38923512512095,1.39232224988004,-52.9321222381876,-9.08184814567367,23.4130143663091,-30.3604574385755,-30.8756368710148,0.902498053244773
"13",2017,0.653373568683006,0.653373568683006,0.318251420240101,0.00331138976207402,0.347778060024433,-8.56103666608588,-3.07972710406068,-3.27671488656696,-0.0498787395841772,1.19051484732141,2.95022427676562,7.27469528675982,-17.265489529369,8.95340437545723,-4.39628452036269,-32.3517953314773,0.652221939975568
"14",2018,0.706576480536891,0.706576480536891,0.319779439703911,0.00294432462579554,0.294290004771282,-8.4812060676859,-1.76744339157045,-0.476653900604519,-2.24252693170395,1.45856269183183,0.096751058519121,3.83284095241076,-2.70082915583489,1.56561423253094,5.14853159960789,-64.7605704792664,0.705709995228718
"15",2019,0.601414318913153,0.601414318913153,0.314780584031192,0.00173034562641259,0.399276567549235,-8.09642417391095,-1.78680616401366,-1.74353902030351,0.239721547861047,1.76107292574284,4.13535269703613,-2.29431628487555,-12.9680716026816,11.509591282316,10.3172859732963,-42.7091589553758,0.600723432450765
"16",2020,0.485706051712617,0.485706051712617,0.316711217514586,0.00192061210789439,0.515283608224338,-8.52286390552084,-1.22237826855223,-2.23818600247164,-0.475538374358925,1.88916421307241,3.09176362586581,4.02591125160764,-8.1700284354664,8.2649974134657,15.1254472471695,-7.33004124698954,0.484716391775662
"17",2021,0.452571020482336,0.452571020482336,0.317546111984633,0.001862745007385,0.548450603140461,-8.15999690129064,-1.03776342334652,-1.09558997392955,0.510784816522871,1.07737323480222,2.922736506777,-6.35033644172466,2.94113766976478,-1.61540114764363,-6.18886476509082,-10.6376276311139,0.451549396859539
"18",2022,0.387948579597693,0.387948579597693,0.315928583833161,0.00187582734824135,0.613201680885299,-8.02584044857116,-0.473496925598754,-0.121076017794726,2.28783267693917,1.9467477612339,2.62618458710058,5.10005887612143,-7.17018280051742,-4.65011622815774,-15.6248513548591,-5.52010112764726,0.386798319114701
"19",2023,0.120263032547209,0.120263032547209,0.318286295089449,0.00174671566787958,0.881276306585234,-8.59703482609264,1.37416415092588,1.14799243974349,2.38119333057269,1.18337679402097,-0.831078054589496,16.4181113249926,8.93631627436693,-4.22926390443471,16.1128504742732,20.1854309006364,0.118723693414766
"20",2024,0.510178473141094,0.510178473141094,0.31551797590987,0.00169813960477058,0.490654727083234,-8.34512300259629,-1.59483110193432,0.190287422980572,-0.715673320105595,2.01198958447716,2.13348030293978,1.12845888751243,2.56191281285969,-3.98344133186002,20.9924710563492,-18.648269823316,0.509345272916766
"21",2025,0.457969360165817,0.457969360165817,0.31587925632605,0.00170062495871277,0.542954000959648,-7.98811110311172,-0.0486375734909099,0.89323484058476,1.32536958765396,3.00709367043386,1.663328682388,-2.64695312193634,-7.20133279089625,1.58137516270176,17.1841883947631,-20.3150193482513,0.457045999040352
